asset_id,delivery_role,provisional_order,source_tracked_path,derivative_method,provenance,mobile_path,mobile_dimensions,desktop_path,desktop_dimensions,claim_boundary,repository_target,paper_target,author_approval_status
t1_production,main_lead,1,"docs/assets/t1_s1_s2/T1_production_pollution_card_390.png | docs/assets/t1_s1_s2/T1_production_pollution_card_900.png",byte-for-byte copy of each approved responsive derivative,"RR-02 public derivative; clean MATLAB T1 model algebra and rendering",assets/t1_production_390.png,390x394,assets/t1_production_900.png,900x910,"Weighted Nash image is not a centralized social Pareto set.",README.md#why-a-set,docs/RELATED_PUBLICATIONS.md,"provisional editorial selection; final author approval pending"
t1_cube,optional_geometry,2a,"docs/assets/t1_s1_s2/T1_cube_correspondence_card_390.png | docs/assets/t1_s1_s2/T1_cube_correspondence_card_900.png",byte-for-byte copy of each approved responsive derivative,"RR-02 public derivative; paper parameters and theorem identity plus clean MATLAB diagnostics",assets/t1_cube_390.png,390x411,assets/t1_cube_900.png,900x948,"Routing key and finite samples do not prove the global diffeomorphism.",docs/RESULTS.md#1-cube-face-correspondence,docs/RELATED_PUBLICATIONS.md,"optional; final author approval pending"
t1_prism,optional_geometry,2b,"docs/assets/t1_s1_s2/T1_prism_correspondence_card_390.png | docs/assets/t1_s1_s2/T1_prism_correspondence_card_900.png",byte-for-byte copy of each approved responsive derivative,"RR-02 public derivative; paper parameters with consistently weighted M and b plus clean MATLAB diagnostics",assets/t1_prism_390.png,390x411,assets/t1_prism_900.png,900x948,"Visibility and finite sampling do not prove global bijectivity.",docs/RESULTS.md#2-triangular-prism-face-correspondence,docs/RELATED_PUBLICATIONS.md,"optional; final author approval pending"
p1_trap,main_welfare,3,"docs/assets/p1_i1/P1_trap_two_times_card.png",proportional sips resample from approved tracked public derivative; no crop or content change,"RR-03 direct clean-MATLAB public derivative of the actual legacy trap configuration",assets/p1_trap_390.png,390x290,assets/p1_trap_900.png,900x670,"Finite-grid trajectory evidence; separate from the nonweak construction and not a continuous-time theorem.",docs/RESULTS.md#11-weak-pareto-trap,docs/RELATED_PUBLICATIONS.md,"provisional editorial selection; final author approval pending"
p1_rate,main_welfare,4,"docs/assets/p1_i1/P1_rate_decomposition_card.png",proportional sips resample from approved tracked public derivative; no crop or content change,"RR-03 direct clean-MATLAB public derivative of unchanged own externality and total-rate arrays",assets/p1_rate_390.png,390x293,assets/p1_rate_900.png,900x676,"Terms diagnose one dynamics; a plotted trajectory does not prove a theorem.",docs/RESULTS.md#10-rate-decomposition,docs/RELATED_PUBLICATIONS.md,"provisional editorial selection; final author approval pending"
x1_fiber,main_representation,5,"docs/assets/x1/X1_fiber_collapse_vertical_390.png | docs/assets/x1/X1_fiber_collapse_vertical_900.png",byte-for-byte copy of each approved responsive derivative,"RR-04 clean-MATLAB public derivative from the implemented non-bijective map",assets/x1_fiber_390.png,390x981,assets/x1_fiber_900.png,900x2263,"Set-valued inverse and information loss; transformation is not a controller or stabilizer.",docs/RESULTS.md#13-fiber-collapse,docs/RELATED_PUBLICATIONS.md,"proposed promotion; final author approval pending"
i1_trajectory,main_design,6,"docs/assets/p1_i1/I1_trajectory_card.png",proportional sips resample from approved tracked public derivative; no crop or content change,"RR-03 direct clean-MATLAB public derivative of the INC-0 original and incentivized trajectories",assets/i1_trajectory_390.png,390x296,assets/i1_trajectory_900.png,900x683,"Algebra checked and trajectory observed; full invariant containment unproved.",docs/RESULTS.md#17-inc-0-before-and-after,docs/RELATED_PUBLICATIONS.md,"provisional editorial selection; final author approval pending"
i1_transfer,main_design,7,"docs/assets/p1_i1/I1_aggregate_transfer_card.png",proportional sips resample from approved tracked public derivative; no crop or content change,"RR-03 direct clean-MATLAB public derivative of complete INC-0 aggregate transfer",assets/i1_transfer_390.png,390x279,assets/i1_transfer_900.png,900x645,"Sampled nonpositive aggregate transfer is not an invariant-domain certificate; INC-omega is a different game.",docs/RESULTS.md#17-inc-0-before-and-after,docs/RELATED_PUBLICATIONS.md,"provisional editorial selection; final author approval pending"
s1_stable,extension_only,8a,"docs/assets/t1_s1_s2/S1_stable_case_card_390.png | docs/assets/t1_s1_s2/S1_stable_case_card_900.png",byte-for-byte copy of each approved responsive derivative,"RR-02 public derivative; exact branch checks theorem conditions and clean MATLAB execution",assets/s1_stable_390.png,390x419,assets/s1_stable_900.png,900x968,"Trajectory illustrates stability identity; it does not establish it.",docs/RESULTS.md#s1--stable-and-unstable-piecewise-dynamics,docs/RELATED_PUBLICATIONS.md,"extension only; final author approval pending"
s1_unstable,extension_only,8b,"docs/assets/t1_s1_s2/S1_unstable_case_card_390.png | docs/assets/t1_s1_s2/S1_unstable_case_card_900.png",byte-for-byte copy of each approved responsive derivative,"RR-02 public derivative; active positive-eigenvalue witness branch checks and clean MATLAB execution",assets/s1_unstable_390.png,390x432,assets/s1_unstable_900.png,900x998,"Active-cone eigenstructure establishes the witness; visual path slope alone does not.",docs/RESULTS.md#s1--stable-and-unstable-piecewise-dynamics,docs/RELATED_PUBLICATIONS.md,"extension only; final author approval pending"
