manifest_id,delivery_mode,actual_output_or_record,repository_status,website_status,claim_boundary
T2.1,discussion archive,"FIGURE_MANIFEST T2.1; related compact/rank-degenerate/noncompact geometry in S1/S2",complete as conceptual record,not separately selected,"no unique numerical source; no exact three-panel redraw claimed"
T2.2,merged numerical delivery,"T1_cube_face_correspondence.png; T1_prism_face_correspondence.png; correspondence CSVs",complete,baseline candidate,"onto versus one-to-one stated from definitions/theorem, not inferred from a point cloud"
T2.3,numerical delivery,T1_cube_face_correspondence.png,complete,baseline candidate,"paper parameters; M and b weighted together; finite grid is diagnostic"
T2.4,numerical delivery,T1_prism_face_correspondence.png,complete,baseline candidate,"paper parameters kept separate from legacy sign variant"
T2.5,numerical delivery,T1_production_pollution.png,complete,baseline candidate,"purple region is weighted Nash image, not centralized social Pareto"
T2.6,explicit schematic,T1_nonquadratic_schematic.png,complete as schematic,repository only,"no source functions or numerical parameters asserted"
T3.1,merged explanatory delivery,"S1_five_case_overview.png; S1_eigenvectors_transitions.png",complete as explanation,repository support,"active/inactive and selected branches are governed by the declared rule"
T3.2,merged explanatory delivery,"S1_five_case_overview.png; S1_eigenvectors_transitions.png",complete as explanation,repository support,"regular-domain transitions are not a separate exact source-figure reproduction"
T3.3,merged explanatory delivery,S1_eigenvectors_transitions.png,complete as explanation,repository support,"complex branches are rotations; real eigenvectors are not invented"
T3.4,merged explanatory delivery,S2_rank_degenerate_five_cases.png,complete as explanation,repository full scope,"rank-degenerate geometry is a new construction under Assumption 4"
T3.5,numerical delivery,"S1_five_case_overview.png; S1_eigenvectors_transitions.png; branch CSVs",complete,appendix candidate,"case identity uses slopes, all branch matrices, eigenstructure, cones and theorem assumptions"
T3.6,numerical delivery,"S2_rank_degenerate_five_cases.png; branch CSVs",complete,repository full scope,"D1-D4 all-positive and D5 all-negative determinant cases; not exact thesis parameters"
T3.7,numerical delivery,"S2_noncompact_three_configurations.png; noncompact CSV",complete,repository full scope,"noncompactness uses Proposition 3.1 and mixed determinant signs, not the finite plot window"
T3.8,discussion archive,"FIGURE_MANIFEST T3.8; R1 report applicability boundary",complete as discussion,not selected,"higher-dimensional/more-objective limitation is not a promised dynamics reproduction"
T4.1,merged numerical delivery,"P1_three_payoff_properties.png; P1_rate_decomposition.png; P1_weak_pareto_trap.png",complete,baseline group,"Gamma and Omega plus own/externality/total rates remain distinct"
T4.2,merged conditional discussion,"P1 figures; I1_design_geometry.png; I1 condition table",complete at authorized level,repository support,"no smallest invariant-set construction is claimed"
T4.3,numerical delivery,"P1_three_payoff_properties.png; P1_rate_decomposition.png",complete,baseline candidate,"new exact family; not exact Figure 4.3 parameters and does not reuse withdrawn Q1 evidence"
T5.1,numerical delivery,P1_weak_pareto_trap.png,complete,baseline candidate,"actual legacy scaled-own-gradient rule; weak-at-every-time is finite-grid evidence"
T5.2,discussion archive,"I1 report necessary-condition discussion; AUTHOR_REVIEW Q3",complete as theory record,not separately selected,"necessary weight inequality is not presented as a sufficient certificate"
T5.3,numerical delivery,I1_design_geometry.png,complete,baseline candidate,"same-game omega comparison; supplement remains a different game"
T5.4,numerical delivery,I1_sigma_budget.png,complete,baseline candidate,"three regimes plus common exclusion; certificate failure is not general impossibility"
T5.5,numerical delivery,I1_design_geometry.png,complete,baseline candidate,"social Pareto samples and decentralized Nash set are separate objects"
T5.6,numerical delivery,I1_before_after.png,complete,baseline candidate,"original/modified payoffs and aggregate transfer shown over time; endpoint is not relabeled target"
E1,discussion archive,"same conceptual record as T2.1",complete as conceptual record,not separately selected,"no unique numerical source"
E2,merged explanatory delivery,"S1_five_case_overview.png; X1_domain_map.png",complete as explanation,repository support,"domain labels and sign images apply under stated local assumptions"
E3,merged explanatory delivery,S1_eigenvectors_transitions.png,complete as explanation,repository support,"stable and saddle roles retained"
E4,merged explanatory delivery,"S1_eigenvectors_transitions.png; task reports",complete as explanation,repository support,"transition relations are documented without inventing source coordinates"
E5,numerical delivery,"X1_domain_map.png; X1_fiber_collapse.png",complete,baseline group,"quadrant images are local subsets; axis inverse is set-valued"
E6,numerical delivery,X1_trajectories_lyapunov.png,complete,baseline candidate,"x(t), pointwise eta(x(t)) and independently integrated z(t) are distinct"
A1,merged numerical delivery,P1_weak_pareto_trap.png,complete,baseline candidate,"same research mechanism, not claimed as unpublished ACC parameters"
A2,merged numerical delivery,I1_design_geometry.png,complete,baseline candidate,"controlled omega comparison, not exact ACC parameters"
A3,merged numerical delivery,I1_sigma_budget.png,complete,baseline candidate,"ACC-style exclusion view using recorded thesis legacy game"
