path,experiment,purpose_inputs_outputs_dependencies,helper_calls,run_status,normalized_text_sha256
source_material/legacy_github/ZehuiGuo_Pareto_Improvement_Simulation-main/Characterization_of_D_{bud}(sigma)/main.m,T5.4,自含陷阱游戏+eta/omega；slider sigma -> Dbud 等高线；GUI 回调,testfun1,静态审阅；未在干净 MATLAB 会话执行,ca1e62d9f0bfe8c9fbc2c8feabec2c7686bc3a7afaed88f226c32936fb498021
source_material/legacy_github/ZehuiGuo_Pareto_Improvement_Simulation-main/Characterization_of_D_{bud}(sigma)/testfun1.m,T4.3 / T5.1 / T5.4–6 / S-INC,给定第一坐标和两条行，求第二坐标与另一截距；非 payoff evaluator,testfun1,静态审阅；未在干净 MATLAB 会话执行,4e8457a3b6839b34630b7b4c056ff90b8e3f3261d391a86f1cb42b4066ba1f9f
source_material/legacy_github/ZehuiGuo_Pareto_Improvement_Simulation-main/Characterization_of_D_{bud}(sigma)/testfun2.m,T4.3 / T5.1 / T5.4–6 / S-INC,"二维 RHS，比较 scaled gradients；A,b,x,alpha12/22 -> f",testfun2,静态审阅；未在干净 MATLAB 会话执行,b06396e85620fc37e1d8a48cc42d78b2e4b54b9d9c9e170f59af1a345bcec8be
source_material/legacy_github/ZehuiGuo_Pareto_Improvement_Simulation-main/Characterization_of_D_{bud}(sigma)/testfun2_1.m,T4.3 / T5.1 / T5.4–6 / S-INC,scaled-gradient RHS 第一分量,testfun2_1,静态审阅；未在干净 MATLAB 会话执行,11908ae282d754e26050601c2d65b81cd32ae69362dd7300fec34bc14c078f5e
source_material/legacy_github/ZehuiGuo_Pareto_Improvement_Simulation-main/Characterization_of_D_{bud}(sigma)/testfun2_2.m,T4.3 / T5.1 / T5.4–6 / S-INC,scaled-gradient RHS 第二分量,testfun2_2,静态审阅；未在干净 MATLAB 会话执行,9f85ef59b124b270947d0b62c5fd8569d9dd57e8e237898d43bd6b5bb17f6432
source_material/legacy_github/ZehuiGuo_Pareto_Improvement_Simulation-main/Simulation_results_for_design/test3_1.m,T5.5–6,集中式全四目标加权最优解散点与 Nash BR；循环含全零权重奇异点,testfun1,静态审阅；未在干净 MATLAB 会话执行,3866bcb62fc35183aa2ba69be5468ed8916da8315b1a8f281f5c6a28aa66b012
source_material/legacy_github/ZehuiGuo_Pareto_Improvement_Simulation-main/Simulation_results_for_design/test3_2.m,T5.5–6,U/Jsum/budget 初值水平集和目标，硬编码参数,testfun1,静态审阅；未在干净 MATLAB 会话执行,5ff23773e0fa4e2743359726b1d049d93843c5f1eb00314df59c9ee534593074
source_material/legacy_github/ZehuiGuo_Pareto_Improvement_Simulation-main/Simulation_results_for_design/test3_3.m,T5.5–6,原/激励系统 ode45、相图、原及改造 payoff 增量与 aggregate p,testfun1;testfun2,静态审阅；未在干净 MATLAB 会话执行,0b1ababbbbf4a8e2e5e00a6c8e416e8074d584cc5e80c74cc68d40a71f954d2b
source_material/legacy_github/ZehuiGuo_Pareto_Improvement_Simulation-main/Simulation_results_for_design/test5_1.m,S-INC,集中式全四目标加权最优解散点与 Nash BR；循环含全零权重奇异点,testfun1,静态审阅；未在干净 MATLAB 会话执行,d78a21afc50bb68297ef252fc3153c95d3b8a8f70ffd81840955838f8ef47d93
source_material/legacy_github/ZehuiGuo_Pareto_Improvement_Simulation-main/Simulation_results_for_design/test5_2.m,S-INC,U/Jsum/budget 初值水平集和目标，硬编码参数,testfun1,静态审阅；未在干净 MATLAB 会话执行,7660d52ffe609125a7fd5612bd7c20bb654b15a7beef91f860ec896557471385
source_material/legacy_github/ZehuiGuo_Pareto_Improvement_Simulation-main/Simulation_results_for_design/test5_3.m,S-INC,原/激励系统 ode45、相图、原及改造 payoff 增量与 aggregate p；p 漏 omega 项,testfun1;testfun2,静态审阅；未在干净 MATLAB 会话执行,e06012103876122175001ed7ecbd4a40d57732e522dcd79bd5b6ecd48d92eb45
source_material/legacy_github/ZehuiGuo_Pareto_Improvement_Simulation-main/Simulation_results_for_design/testfun1.m,T4.3 / T5.1 / T5.4–6 / S-INC,给定第一坐标和两条行，求第二坐标与另一截距；非 payoff evaluator,testfun1,静态审阅；未在干净 MATLAB 会话执行,4e8457a3b6839b34630b7b4c056ff90b8e3f3261d391a86f1cb42b4066ba1f9f
source_material/legacy_github/ZehuiGuo_Pareto_Improvement_Simulation-main/Simulation_results_for_design/testfun2.m,T4.3 / T5.1 / T5.4–6 / S-INC,"二维 RHS，比较 scaled gradients；A,b,x,alpha12/22 -> f",testfun2,静态审阅；未在干净 MATLAB 会话执行,b06396e85620fc37e1d8a48cc42d78b2e4b54b9d9c9e170f59af1a345bcec8be
source_material/legacy_github/ZehuiGuo_Pareto_Improvement_Simulation-main/Simulation_results_for_design/testfun2_1.m,T4.3 / T5.1 / T5.4–6 / S-INC,scaled-gradient RHS 第一分量,testfun2_1,静态审阅；未在干净 MATLAB 会话执行,11908ae282d754e26050601c2d65b81cd32ae69362dd7300fec34bc14c078f5e
