"item_id","path_or_entry","category","role","git_tracked","review_status","version_or_provenance","scientific_claim","inspection_method_scope","finding_or_reason"
"FIG-TRACKED-T1_cube_face_correspondence","audit/implementation/figures/T1_cube_face_correspondence.png","tracked figure","T1 cube face edge vertex mapping","yes","opened full resolution and 1100/900/390 px","submission figure; P1 is independent renderer, others correspond to MATLAB deliveries","paper parameters; theorem-backed mapping, finite-grid diagnostic","original image plus explicit width-resampled copies","usable in repository with captions; multi-panel figures require splitting on mobile"
"FIG-TRACKED-T1_prism_face_correspondence","audit/implementation/figures/T1_prism_face_correspondence.png","tracked figure","T1 prism face edge vertex mapping","yes","opened full resolution and 1100/900/390 px","submission figure; P1 is independent renderer, others correspond to MATLAB deliveries","paper parameters; theorem-backed mapping, finite-grid diagnostic","original image plus explicit width-resampled copies","usable in repository with captions; multi-panel figures require splitting on mobile"
"FIG-TRACKED-T1_production_pollution","audit/implementation/figures/T1_production_pollution.png","tracked figure","production-pollution application","yes","opened full resolution and 1100/900/390 px","submission figure; P1 is independent renderer, others correspond to MATLAB deliveries","purple is weighted Nash image, not social Pareto","original image plus explicit width-resampled copies","usable in repository with captions; multi-panel figures require splitting on mobile"
"FIG-TRACKED-T1_nonquadratic_schematic","audit/implementation/figures/T1_nonquadratic_schematic.png","tracked figure","nonquadratic scope schematic","yes","opened full resolution and 1100/900/390 px","submission figure; P1 is independent renderer, others correspond to MATLAB deliveries","schematic only; no numerical model asserted","original image plus explicit width-resampled copies","usable in repository with captions; multi-panel figures require splitting on mobile"
"FIG-TRACKED-S1_five_case_overview","audit/implementation/figures/S1_five_case_overview.png","tracked figure","four stable and one unstable construction","yes","opened full resolution and 1100/900/390 px","submission figure; P1 is independent renderer, others correspond to MATLAB deliveries","identity uses slopes, branches, eigenstructure and cones","original image plus explicit width-resampled copies","usable in repository with captions; multi-panel figures require splitting on mobile"
"FIG-TRACKED-S1_eigenvectors_transitions","audit/implementation/figures/S1_eigenvectors_transitions.png","tracked figure","branch eigenvectors and transitions","yes","opened full resolution and 1100/900/390 px","submission figure; P1 is independent renderer, others correspond to MATLAB deliveries","coordinates do not remove unstable active ray","original image plus explicit width-resampled copies","usable in repository with captions; multi-panel figures require splitting on mobile"
"FIG-TRACKED-S2_rank_degenerate_five_cases","audit/implementation/figures/S2_rank_degenerate_five_cases.png","tracked figure","rank-zero five-case construction","yes","opened full resolution and 1100/900/390 px","submission figure; P1 is independent renderer, others correspond to MATLAB deliveries","new construction under Assumption 4","original image plus explicit width-resampled copies","usable in repository with captions; multi-panel figures require splitting on mobile"
"FIG-TRACKED-S2_noncompact_three_configurations","audit/implementation/figures/S2_noncompact_three_configurations.png","tracked figure","noncompact constructions","yes","opened full resolution and 1100/900/390 px","submission figure; P1 is independent renderer, others correspond to MATLAB deliveries","mixed determinant signs plus Proposition 3.1, not window","original image plus explicit width-resampled copies","usable in repository with captions; multi-panel figures require splitting on mobile"
"FIG-TRACKED-P1_three_payoff_properties","audit/implementation/figures/P1_three_payoff_properties.png","tracked figure","nonweak/all/weak comparison","yes","opened full resolution and 1100/900/390 px","submission figure; P1 is independent renderer, others correspond to MATLAB deliveries","new exact family; not exact thesis Fig 4.3","original image plus explicit width-resampled copies","usable in repository with captions; multi-panel figures require splitting on mobile"
"FIG-TRACKED-P1_rate_decomposition","audit/implementation/figures/P1_rate_decomposition.png","tracked figure","total equals own plus externality","yes","opened full resolution and 1100/900/390 px","submission figure; P1 is independent renderer, others correspond to MATLAB deliveries","own contribution differs from full payoff derivative","original image plus explicit width-resampled copies","usable in repository with captions; multi-panel figures require splitting on mobile"
"FIG-TRACKED-P1_weak_pareto_trap","audit/implementation/figures/P1_weak_pareto_trap.png","tracked figure","legacy-rule cross-time trap","yes","opened full resolution and 1100/900/390 px","submission figure; P1 is independent renderer, others correspond to MATLAB deliveries","finite-grid weak-at-every-time evidence","original image plus explicit width-resampled copies","usable in repository with captions; multi-panel figures require splitting on mobile"
"FIG-TRACKED-X1_domain_map","audit/implementation/figures/X1_domain_map.png","tracked figure","original domains to local image subsets","yes","opened full resolution and 1100/900/390 px","submission figure; P1 is independent renderer, others correspond to MATLAB deliveries","local image subsets; no whole-quadrant surjectivity","original image plus explicit width-resampled copies","usable in repository with captions; multi-panel figures require splitting on mobile"
"FIG-TRACKED-X1_fiber_collapse","audit/implementation/figures/X1_fiber_collapse.png","tracked figure","rank-one fibers collapse","yes","opened full resolution and 1100/900/390 px","submission figure; P1 is independent renderer, others correspond to MATLAB deliveries","inverse on axes is set-valued","original image plus explicit width-resampled copies","usable in repository with captions; multi-panel figures require splitting on mobile"
"FIG-TRACKED-X1_trajectories_lyapunov","audit/implementation/figures/X1_trajectories_lyapunov.png","tracked figure","x eta(x) and independent z","yes","opened full resolution and 1100/900/390 px","submission figure; P1 is independent renderer, others correspond to MATLAB deliveries","mapped and independently integrated paths differ","original image plus explicit width-resampled copies","usable in repository with captions; multi-panel figures require splitting on mobile"
"FIG-TRACKED-I1_design_geometry","audit/implementation/figures/I1_design_geometry.png","tracked figure","social Pareto Nash omega target geometry","yes","opened full resolution and 1100/900/390 px","submission figure; P1 is independent renderer, others correspond to MATLAB deliveries","social Pareto and decentralized Nash remain distinct","original image plus explicit width-resampled copies","usable in repository with captions; multi-panel figures require splitting on mobile"
